train_feat_before_target_end,train_return_identity,train_no_nan,val_feat_before_target_end,val_return_identity,val_no_nan,test_feat_before_target_end,test_return_identity,test_no_nan,disjoint,horizon_ok,ticker,all_passed
True,True,True,True,True,True,True,True,True,True,True,A,True
True,True,True,True,True,True,True,True,True,True,True,AA,True
True,True,True,True,True,True,True,True,True,True,True,AACG,True
True,True,True,True,True,True,True,True,True,True,True,AAL,True
True,True,True,True,True,True,True,True,True,True,True,AAME,True
True,True,True,True,True,True,True,True,True,True,True,AAMI,True
True,True,True,True,True,True,True,True,True,True,True,AAOI,True
True,True,True,True,True,True,True,True,True,True,True,AAON,True
True,True,True,True,True,True,True,True,True,True,True,AAP,True
True,True,True,True,True,True,True,True,True,True,True,AAPL,True
True,True,True,True,True,True,True,True,True,True,True,AAT,True
True,True,True,True,True,True,True,True,True,True,True,AB,True
True,True,True,True,True,True,True,True,True,True,True,ABAT,True
True,True,True,True,True,True,True,True,True,True,True,ABBV,True
True,True,True,True,True,True,True,True,True,True,True,ABCB,True
True,True,True,True,True,True,True,True,True,True,True,ABCL,True
True,True,True,True,True,True,True,True,True,True,True,ABEO,True
True,True,True,True,True,True,True,True,True,True,True,ABEV,True
True,True,True,True,True,True,True,True,True,True,True,ABG,True
True,True,True,True,True,True,True,True,True,True,True,ABL,True
True,True,True,True,True,True,True,True,True,True,True,ABM,True
True,True,True,True,True,True,True,True,True,True,True,ABNB,True
True,True,True,True,True,True,True,True,True,True,True,ABOS,True
True,True,True,True,True,True,True,True,True,True,True,ABR,True
True,True,True,True,True,True,True,True,True,True,True,ABSI,True
True,True,True,True,True,True,True,True,True,True,True,ABT,True
True,True,True,True,True,True,True,True,True,True,True,ABTS,True
True,True,True,True,True,True,True,True,True,True,True,ABUS,True
True,True,True,True,True,True,True,True,True,True,True,ABVC,True
True,True,True,True,True,True,True,True,True,True,True,AC,True
True,True,True,True,True,True,True,True,True,True,True,ACA,True
True,True,True,True,True,True,True,True,True,True,True,ACAD,True
True,True,True,True,True,True,True,True,True,True,True,ACB,True
True,True,True,True,True,True,True,True,True,True,True,ACCO,True
True,True,True,True,True,True,True,True,True,True,True,ACCS,True
True,True,True,True,True,True,True,True,True,True,True,ACEL,True
True,True,True,True,True,True,True,True,True,True,True,ACET,True
True,True,True,True,True,True,True,True,True,True,True,ACGL,True
True,True,True,True,True,True,True,True,True,True,True,ACGLN,True
True,True,True,True,True,True,True,True,True,True,True,ACGLO,True
True,True,True,True,True,True,True,True,True,True,True,ACHC,True
True,True,True,True,True,True,True,True,True,True,True,ACHR,True
True,True,True,True,True,True,True,True,True,True,True,ACHV,True
True,True,True,True,True,True,True,True,True,True,True,ACI,True
True,True,True,True,True,True,True,True,True,True,True,ACIC,True
True,True,True,True,True,True,True,True,True,True,True,ACIU,True
True,True,True,True,True,True,True,True,True,True,True,ACIW,True
True,True,True,True,True,True,True,True,True,True,True,ACLS,True
True,True,True,True,True,True,True,True,True,True,True,ACLX,True
True,True,True,True,True,True,True,True,True,True,True,ACM,True
True,True,True,True,True,True,True,True,True,True,True,ACMR,True
True,True,True,True,True,True,True,True,True,True,True,ACN,True
True,True,True,True,True,True,True,True,True,True,True,ACNB,True
True,True,True,True,True,True,True,True,True,True,True,ACNT,True
True,True,True,True,True,True,True,True,True,True,True,ACP,True
True,True,True,True,True,True,True,True,True,True,True,ACR,True
True,True,True,True,True,True,True,True,True,True,True,ACRE,True
True,True,True,True,True,True,True,True,True,True,True,ACRS,True
True,True,True,True,True,True,True,True,True,True,True,ACT,True
