ticker,date,open,high,low,close,volume
AAPL,2024-01-01,227.89,228.01,226.51,226.85,7878334
AAPL,2024-01-02,226.85,230.23,222.38,223.07,29314694
AAPL,2024-01-03,223.07,223.23,222.6,222.74,41400793
AAPL,2024-01-04,222.74,222.88,221.75,222.48,37570403
AAPL,2024-01-05,222.48,224.58,220.24,221.44,1436124
AAPL,2024-01-06,221.44,225.24,220.65,222.59,19647630
AAPL,2024-01-07,222.59,223.36,217.8,219.67,7224068
AAPL,2024-01-08,219.67,221.57,217.88,219.15,18751694
AAPL,2024-01-09,219.15,223.18,215.5,219.62,26403012
AAPL,2024-01-10,219.62,220.01,218.16,219.32,25268915
AAPL,2024-01-11,219.32,222.21,215.8,216.1,16293994
AAPL,2024-01-12,216.1,219.96,211.17,218.69,7778091
AAPL,2024-01-13,218.69,220.59,216.42,219.9,11915531
AAPL,2024-01-14,219.9,221.75,218.85,219.62,46872107
AAPL,2024-01-15,219.62,222.86,216.58,217.65,49930871
AAPL,2024-01-16,217.65,218.88,215.34,216.3,43949656
AAPL,2024-01-17,216.3,219.74,215.2,216.67,4753932
AAPL,2024-01-18,216.67,217.82,216.51,216.92,18967786
AAPL,2024-01-19,216.92,217.25,212.36,215.13,49178411
AAPL,2024-01-20,215.13,216.71,211.86,213.78,44141058
AAPL,2024-01-21,213.78,216.07,212.45,213.34,38672777
AAPL,2024-01-22,213.34,216.04,209.61,212.36,40160231
AAPL,2024-01-23,212.36,214.36,211.27,214.35,35193730
AAPL,2024-01-24,214.35,216.82,210.57,215.95,11257007
AAPL,2024-01-25,215.95,219.09,211.99,214.99,5263272
AAPL,2024-01-26,214.99,216.91,212.01,214.3,17872115
AAPL,2024-01-27,214.3,219.16,210.0,210.11,49366822
AAPL,2024-01-28,210.11,210.68,205.68,209.43,44014218
AAPL,2024-01-29,209.43,211.13,207.97,208.47,1217789
AAPL,2024-01-30,208.47,213.24,204.09,206.5,34593765
AAPL,2024-01-31,206.5,210.31,203.96,204.63,42963185
AAPL,2024-02-01,204.63,206.13,201.44,204.29,11256869
AAPL,2024-02-02,204.29,206.16,203.49,206.04,36591432
AAPL,2024-02-03,206.04,210.63,203.04,206.75,8507315
AAPL,2024-02-04,206.75,211.4,202.36,209.88,21636923
AAPL,2024-02-05,209.88,211.07,208.67,210.03,6285296
AAPL,2024-02-06,210.03,210.46,207.6,207.8,36749305
AAPL,2024-02-07,207.8,211.63,207.16,209.28,37896694
AAPL,2024-02-08,209.28,210.11,206.65,208.75,15213536
AAPL,2024-02-09,208.75,213.39,204.97,210.78,48845195
MSFT,2024-01-01,162.34,167.32,159.09,162.7,35733926
MSFT,2024-01-02,162.7,164.95,161.46,161.68,2411585
MSFT,2024-01-03,161.68,164.62,160.53,161.43,5764265
MSFT,2024-01-04,161.43,164.97,161.14,161.4,3108087
MSFT,2024-01-05,161.4,165.69,161.04,162.15,45894338
MSFT,2024-01-06,162.15,164.58,159.45,163.16,39322053
MSFT,2024-01-07,163.16,166.04,161.94,163.88,28317331
MSFT,2024-01-08,163.88,164.83,163.4,164.02,29425880
MSFT,2024-01-09,164.02,166.07,159.7,160.04,44852655
MSFT,2024-01-10,160.04,164.96,159.55,161.73,23770212
MSFT,2024-01-11,161.73,165.73,161.18,162.05,36989527
MSFT,2024-01-12,162.05,164.3,159.95,161.16,17764226
MSFT,2024-01-13,161.16,165.53,160.78,164.62,37931706
MSFT,2024-01-14,164.62,165.11,161.36,163.38,1990382
